ID_SITE,ID_ENTITY,entity_name,latitude,longitude,elevation,depositional_context,measurement_method,TYPE,source,core_location,last_updated,ID_UNIT,id,ENTITY_ID,"Alpha-2 code","Alpha-3 code"
23,42,"Forest Pond 2 core",43.43,-109.95,2766,"lake sediment","Pollen slide","pollen concentration","Global Charcoal Database Version 4","central core",2021-05-07,78,20,42,US,USA
24,43,"Frying Pan core",38.61,-111.66,2720,"lake sediment",-777777,concentration,"Global Charcoal Database Version 4",-777777,2020-03-06,137,21,43,US,USA
25,44,"Head core",37.69,-105.73,2294,"lake sediment",-777777,concentration,"Global Charcoal Database Version 4",-777777,2020-03-06,137,22,44,US,USA
26,45,"Howes Prairie Marsh core",41.65,-87.07,185,"lake sediment",-777777,concentration,"Global Charcoal Database Version 4",-777777,2020-03-06,137,23,45,US,USA
27,46,"Maligne Lake core_gtr24",52.708479,-117.608897,1675,"lake sediment",-777777,concentration,"Global Charcoal Database Version 4",-999999,2021-05-07,61,24,46,CA,CAN
27,47,"Maligne Lake core_14_24",52.708479,-117.608897,1675,"lake sediment",-777777,concentration,"Global Charcoal Database Version 4",-999999,2021-05-07,86,25,47,CA,CAN
28,48,"Montezuma Well core",34,-112,1125,"lake sediment",-777777,concentration,Neotoma,-777777,2021-12-01,137,26,48,US,USA
29,49,"Ninisith Lake core 4",59.58,-113,225,"lake sediment",Sieved,influx,"Global Charcoal Database Version 4",-777777,2020-03-06,28,27,49,CA,CAN
29,50,"Ninisith Lake core 1",59.58,-113,225,"lake sediment",Sieved,influx,"Global Charcoal Database Version 4",-777777,2020-03-06,28,28,50,CA,CAN
29,51,"Ninisith Lake core 3",59.58,-113,225,"lake sediment","Pollen slide",influx,"Global Charcoal Database Version 4",-777777,2020-03-06,145,29,51,CA,CAN
29,52,"Ninisith Lake core 2",59.58,-113,225,"lake sediment","Pollen slide",influx,"Global Charcoal Database Version 4",-777777,2020-03-06,28,30,52,CA,CAN
29,53,"Ninisith Lake core 5",59.58,-113,225,"lake sediment",Sieved,influx,"Global Charcoal Database Version 4",-777777,2020-03-06,145,31,53,CA,CAN
30,54,"Park Pond 1 core",43.46,-109.95,2705,"lake sediment",-777777,"pollen concentration","Global Charcoal Database Version 4",-777777,2020-03-06,78,32,54,US,USA
31,55,"Park Pond 2 core",43.45,-109.94,2714,"lake sediment",-777777,"pollen concentration","Global Charcoal Database Version 4",-777777,2020-03-06,78,33,55,US,USA
32,56,"Park Pond 3 core",43.45,-109.92,2739,"lake sediment",-777777,"pollen concentration","Global Charcoal Database Version 4",-777777,2020-03-06,78,34,56,US,USA
33,57,"Posy Lake core",37.95,-111.7,2653,"lake sediment",-777777,concentration,Neotoma,-777777,2021-12-01,137,35,57,US,USA
34,58,"San Joaquin Marsh core",33.65,-117.85,2,"lake sediment",-777777,concentration,"Global Charcoal Database Version 4",-777777,2020-03-06,137,36,58,US,USA
36,60,"Tonquin Creek TC1 core_14_24",52.73,-118.36,1935,"lake sediment",-777777,concentration,"Global Charcoal Database Version 4",-999999,2021-05-07,86,37,60,CA,CAN
36,61,"Tonquin Creek TC1 core_gtr24",52.73,-118.36,1935,"lake sediment",-777777,concentration,"Global Charcoal Database Version 4",-999999,2021-05-07,61,38,61,CA,CAN
37,62,"Wilcox Pass core 12-20",52.24,-117.21,2355,"lake sediment",-777777,concentration,"Global Charcoal Database Version 4",-777777,2020-03-06,83,39,62,CA,CAN
37,63,"Wilcox Pass core gtr30",52.24,-117.21,2355,"lake sediment",-777777,concentration,"Global Charcoal Database Version 4",-777777,2020-03-06,64,40,63,CA,CAN
38,64,"Dog Lake core",50.76,-116.1,1183,"lake sediment",Sieved,concentration,"Global Charcoal Database Version 4","central core",2021-05-07,17,41,64,CA,CAN
41,67,"Martins core",47.71,-123.54,1415,"lake sediment",Sieved,influx,"Global Charcoal Database Version 4",-777777,2020-03-06,10,42,67,US,USA
42,68,"Moose core",47.88,-123.35,1508,"lake sediment",Sieved,concentration,"Global Charcoal Database Version 4",-777777,2020-03-06,11,43,68,US,USA
54,82,NG2,44.56,33.62,2,"fluvial/alluvial sediment","Pollen slide","pollen concentration","Global Charcoal Database Version 4",-777777,2020-03-06,23,44,82,UA,UKR
55,83,"Yaila-Crimea core",44.48,34.05,1205,"buried organic sediment","Pollen slide","pollen concentration","Global Charcoal Database Version 4",-777777,2020-03-06,23,45,83,UA,UKR
56,84,"Wadi Shallalah core",32.59,35.94,385,"fluvial/alluvial sediment","Pollen slide",concentration,"Global Charcoal Database Version 4",-777777,2020-03-06,137,46,84,JO,JOR
56,85,"Wadi Shallalah_CP ratio",32.59,35.94,385,"fluvial/alluvial sediment","Pollen slide","pollen concentration","Global Charcoal Database Version 4",-777777,2020-03-06,23,47,85,JO,JOR
57,86,"Suho Breznishko core",41.81,23.35,1963,"lake sediment","Pollen slide",other,"Global Charcoal Database Version 4",-777777,2020-03-06,161,48,86,BG,BGR
58,87,"Okadensko core",41.78,23.35,2475,"lake sediment","Pollen slide",other,"Global Charcoal Database Version 4",-777777,2020-03-06,161,49,87,BG,BGR
59,88,"Lake Van core",38.55,42.53,1648,"lake sediment","Pollen slide",concentration,"Global Charcoal Database Version 4",-777777,2021-12-23,114,50,88,TR,TUR
60,89,"Laguna Venus core",-45.53,-72.01,600,"lake sediment",Sieved,concentration,"Global Charcoal Database Version 4",-777777,2020-03-06,13,51,89,CL,CHL
66,96,"Morro de Itapeva core",-22.78,-45.57,1850,"bog sediment","Pollen slide","pollen concentration","Global Charcoal Database Version 4",-777777,2020-03-06,97,52,96,BR,BRA
67,97,"Serra Campos Gerais core_less50",-24.66,-50.21,1200,"lake sediment","Pollen slide",concentration,"Global Charcoal Database Version 4","central core",2021-05-07,43,53,97,BR,BRA
67,98,"Serra Campos Gerais core over 50",-24.66,-50.21,1200,"lake sediment","Pollen slide",concentration,"Global Charcoal Database Version 4","central core",2021-05-07,99,54,98,BR,BRA
76,107,"Mosquito Lake core",-42.493858,-71.404047,556,"lake sediment",Sieved,concentration,"Global Charcoal Database Version 4","central core",2021-05-07,17,55,107,AR,ARG
78,109,"Dongganchi site core",40.2,116,49,"fluvial/alluvial sediment","Pollen slide",concentration,"Global Charcoal Database Version 4",-777777,2020-03-06,134,56,109,CN,CHN
79,110,"Kunming CK3_count",39.98,116.26,48.6,"lake sediment","Pollen slide",concentration,"Global Charcoal Database Version 4",-777777,2020-03-06,22,57,110,CN,CHN
79,111,"Kunming CK3_conc",39.98,116.26,48.6,"lake sediment","Pollen slide",concentration,"Global Charcoal Database Version 4",-777777,2020-03-06,134,58,111,CN,CHN
80,112,"Nanwangcun profile",37,118,10,"fluvial/alluvial sediment",Sieved,concentration,"Global Charcoal Database Version 4",-777777,2020-03-06,22,59,112,CN,CHN
81,113,"Qindeli peat section",47.92,133.22,74,"bog sediment","Pollen slide",concentration,"Global Charcoal Database Version 4",-777777,2020-03-06,152,60,113,RU,RUS
82,114,"Yangjiawan paleosoil section",39.46,110.17,1219,soil,"Pollen slide",concentration,"Global Charcoal Database Version 4",-777777,2020-03-06,22,62,114,CN,CHN
83,115,"Xishan relic site_conc",34.91,113.53,130,"buried surface","Pollen slide",concentration,"Global Charcoal Database Version 4",-777777,2020-03-06,134,63,115,CN,CHN
83,116,"Xishan relic site_frag",34.91,113.53,130,"buried surface","Pollen slide",concentration,"Global Charcoal Database Version 4",-777777,2020-03-06,22,64,116,CN,CHN
84,117,"Muchang peat section_conc",43.03,122.2,308.4,archaeological,"Pollen slide",concentration,"Global Charcoal Database Version 4",-777777,2020-03-06,134,65,117,CN,CHN
84,118,"Muchang peat section_frag",43.03,122.2,308.4,archaeological,"Pollen slide",concentration,"Global Charcoal Database Version 4",-777777,2020-03-06,137,66,118,CN,CHN
85,119,"Erhai Lake core",25.76,100.2,1974,"lake sediment","Pollen slide",concentration,"Global Charcoal Database Version 4",-777777,2020-03-06,22,67,119,CN,CHN
86,120,"Daxigou profile",43.14,86.91,3450,other,"Pollen slide",concentration,"Global Charcoal Database Version 4",-777777,2020-03-06,22,68,120,CN,CHN
87,121,"Lijiayuan section",36.11,104.85,1850,other,Sieved,concentration,"Global Charcoal Database Version 4",-777777,2020-03-06,109,69,121,CN,CHN
88,122,"Lingtai section",35,107.5,1400,soil,Sieved,concentration,"Global Charcoal Database Version 4",-777777,2020-03-06,109,70,122,CN,CHN
89,123,"Weinan section 1",34.06,109,650,soil,Sieved,concentration,"Global Charcoal Database Version 4",-777777,2020-03-06,109,71,123,CN,CHN
90,125,"Huguangyan Maar Lake core_ppm",21.15,110.28,87.6,"lake sediment",Sieved,concentration,"Global Charcoal Database Version 4",-777777,2020-03-06,163,72,125,CN,CHN
91,127,"Longgan Lake core",30.16,116.16,12.1,"lake sediment","Pollen slide",concentration,"Global Charcoal Database Version 4",-999999,2021-05-07,135,73,127,CN,CHN
93,129,"Chihuahuenos Bog core",36.04,-106.5,2925,"lake sediment",Sieved,concentration,"Global Charcoal Database Version 4","central core",2021-05-07,11,74,129,US,USA
94,130,"Sao Francisco de Assis core",-29.58,-55.21,100,"bog sediment","Pollen slide",concentration,"Global Charcoal Database Version 4",-777777,2020-03-06,98,75,130,BR,BRA
97,133,"Lac Francis core",48.5264,-79.4722,305,"lake sediment",Sieved,influx,"Global Charcoal Database Version 4","central core",2021-05-07,149,76,133,CA,CAN
98,134,"Pas-de-Fond core",48.8083,-78.8083,290,"lake sediment",Sieved,influx,"Global Charcoal Database Version 4","central core",2021-05-07,149,77,134,CA,CAN
99,135,"Lattok core",65.956944,18.345,480,"lake sediment",Sieved,influx,"Global Charcoal Database Version 4","central core",2021-05-19,149,78,135,SE,SWE
100,136,"Raigejegge core",66.156944,18.2133333,480,"lake sediment",Sieved,influx,"Global Charcoal Database Version 4","central core",2021-05-19,149,79,136,SE,SWE
101,137,"Patterson Lake core",41.3867,-120.2236,2743,"lake sediment",Sieved,concentration,"Global Charcoal Database Version 4","central core",2021-05-07,11,80,137,US,USA
102,138,"Lily Lake core",41.9758,-120.2097,2042,"lake sediment",Sieved,concentration,"Global Charcoal Database Version 4","central core",2021-05-07,11,81,138,US,USA
103,139,"Dead Horse Lake core",42.5606,-120.7781,2248,"lake sediment",Sieved,concentration,"Global Charcoal Database Version 4","central core",2021-05-07,11,82,139,US,USA
104,140,"Massaciuccoli composite",43.85,10.31,1,"lake sediment","Pollen slide",influx,"Global Charcoal Database Version 4",-777777,2020-03-06,21,83,140,IT,ITA
105,141,"Coast Trail Pond core",37.98,-122.8,230,"lake sediment",Sieved,concentration,"Global Charcoal Database Version 4",-777777,2020-03-06,11,84,141,US,USA
106,142,"DeHerrera Lake core",37.74,-107.7,3343,"lake sediment",Sieved,concentration,"Global Charcoal Database Version 4",-777777,2020-03-06,11,85,142,US,USA
107,143,"Hunter's Lake core",37.6,-106.84,3516,"lake sediment",Sieved,influx,"Global Charcoal Database Version 4",-777777,2020-03-06,10,86,143,US,USA
108,144,"Jicarita Bog core",36.07,-105.58,3207,"lake sediment",Sieved,influx,"Global Charcoal Database Version 4",-777777,2020-03-06,10,87,144,US,USA
109,145,"Little Molas Lake core",37.7422,-107.7078,3370,"lake sediment",Sieved,concentration,"Global Charcoal Database Version 4",-777777,2021-12-10,134,88,145,US,USA
110,146,"Paradox Lake core",60.62,-150.75,68,"lake sediment",Sieved,influx,"Global Charcoal Database Version 4",-777777,2020-03-06,10,89,146,US,USA
111,147,"Laguna Aculeo core",-33.8333,-70.91,350,"lake sediment","Pollen slide",influx,"Global Charcoal Database Version 4","central core",2021-05-07,2,90,147,CL,CHL
113,149,"El Salto core",-41.64,-73.09,67,"lake sediment",Sieved,concentration,"Global Charcoal Database Version 4",-777777,2020-03-06,11,91,149,CL,CHL
114,150,"Lago Condorito core",-41.75,-73.11,60,"lake sediment","Pollen slide",concentration,"Global Charcoal Database Version 4",-777777,2020-03-06,3,92,150,CL,CHL
115,151,"Laguna Melli core",-42.76,-73.55,70,-777777,Sieved,concentration,"Global Charcoal Database Version 4",-777777,2020-03-06,11,93,151,CL,CHL
117,153,"Lago Pollux core",-45.67,-71.86,640,"lake sediment",Sieved,concentration,"Global Charcoal Database Version 4","marginal core",2021-05-07,11,94,153,CL,CHL
118,154,PS0304A,-50.93,-72.76,200,"bog sediment","Pollen slide",influx,"Global Charcoal Database Version 4","central core",2021-05-07,2,95,154,AR,ARG
119,155,"Torres del Paine core",-51.08,-73.06,100,"lake sediment","Pollen slide",concentration,"Global Charcoal Database Version 4",-777777,2020-03-06,81,96,155,AR,ARG
120,156,"Lago Guanaco composite",-51.13,-73.1,60,"lake sediment",Sieved,concentration,"Global Charcoal Database Version 4",-777777,2020-03-06,11,97,156,CL,CHL
121,157,"PTA02_4 gtr1000",-51.96,-70.38,100,"lake sediment",Sieved,influx,"Global Charcoal Database Version 4","central core",2021-05-07,8,98,157,AR,ARG
121,158,"PTA02_4 gtr20",-51.96,-70.38,100,"lake sediment","Pollen slide","pollen concentration","Global Charcoal Database Version 4","central core",2021-12-23,24,99,158,AR,ARG
122,159,"Rio Rubens core",-52.13,-71.88,220,"bog sediment",Sieved,concentration,IMPD,-999999,2021-05-07,11,100,159,AR,ARG
123,160,"Punta Arenas core",-53.15,-70.95,75,"bog sediment","Pollen slide",concentration,"Global Charcoal Database Version 4",-777777,2020-03-06,82,101,160,CL,CHL
125,162,"Puerto Haberton core",-54.88,-67.16,20,"bog sediment","Pollen slide",concentration,"Global Charcoal Database Version 4",-777777,2020-03-06,95,102,162,AR,ARG
126,163,"Siesta Lake core",37.85,-119.66,2430,"lake sediment",Sieved,concentration,"Global Charcoal Database Version 4","central core",2021-05-07,11,103,163,US,USA
130,167,"Ferry Lake core",46.01,-92.13,25,"lake sediment",Sieved,concentration,"Global Charcoal Database Version 4",-777777,2020-03-06,11,104,167,US,USA
135,173,"Maxus-Core 5",-0.7,-76.45,3,"lake sediment","Pollen slide",concentration,"Global Charcoal Database Version 4",-777777,2020-03-06,152,105,173,EC,ECU
138,179,"Curt Pond core",36.9,-84.03,336,"lake sediment","Pollen slide",concentration,"Global Charcoal Database Version 4","central core",2021-05-07,152,106,179,US,USA
139,180,"Cliff Palace Pond core",37.52,-83.92,424,"lake sediment","Pollen slide",concentration,"Global Charcoal Database Version 4","central core",2021-05-07,152,107,180,US,USA
140,182,"Horse Cove Bog core",35.04,-83.15,887,"lake sediment","Pollen slide",concentration,"Global Charcoal Database Version 4","central core",2021-05-07,152,108,182,US,USA
141,184,"Mound G Pond core",35.14,-88.2,143,"lake sediment","Pollen slide",concentration,"Global Charcoal Database Version 4",-999999,2021-05-07,152,109,184,US,USA
142,187,"Cahaba Pond core",33.5,-86.53,204,"lake sediment","Pollen slide",concentration,"Global Charcoal Database Version 4","central core",2021-05-07,152,110,187,US,USA
143,188,"Tuskegee Pond core",35.58,-84.21,240,"lake sediment","Pollen slide",concentration,"Global Charcoal Database Version 4",-777777,2020-03-06,152,111,188,US,USA
144,191,"Black Pond core",35.62,-84.18,262,"lake sediment","Pollen slide",concentration,"Global Charcoal Database Version 4",-777777,2020-03-06,152,112,191,US,USA
145,192,"East Sooke Fen core",48.3519,-123.6817,155,"bog sediment",Sieved,concentration,"Global Charcoal Database Version 4","central core",2021-05-07,88,113,192,CA,CAN
146,193,"Pixie core",48.595187,-124.197301,70,"lake sediment",Sieved,concentration,"Global Charcoal Database Version 4","central core",2021-05-07,88,114,193,CA,CAN
147,194,"Whyac core",48.6722,-124.8444,15,"lake sediment",Sieved,concentration,"Global Charcoal Database Version 4","central core",2021-05-07,88,115,194,CA,CAN
148,195,"Porphyry core",48.900916,-123.835013,1100,"lake sediment",Sieved,concentration,"Global Charcoal Database Version 4","central core",2021-05-07,11,116,195,CA,CAN
149,196,"Walker core",48.529101,-124.003118,950,"lake sediment",Sieved,concentration,"Global Charcoal Database Version 4","central core",2021-05-07,11,117,196,CA,CAN
151,199,"Albion core",45.67,-71.32,320,"lake sediment","Pollen slide",influx,"Global Charcoal Database Version 4",-777777,2020-03-06,149,118,199,CA,CAN
152,200,"Castor core",46.6139,-72.9989,220,"lake sediment","Pollen slide",influx,"Global Charcoal Database Version 4","central core",2021-05-07,149,119,200,CA,CAN
153,201,"Desautels core",49.4578,-73.2567,480,"lake sediment","Pollen slide",influx,"Global Charcoal Database Version 4","central core",2021-05-07,149,120,201,CA,CAN
154,202,"Dolbeau core",48.9669,-65.9558,965,"lake sediment","Pollen slide",influx,"Global Charcoal Database Version 4","central core",2021-05-07,149,121,202,CA,CAN
155,203,"J'Arrive core",49.2472,-65.3764,56,"lake sediment","Pollen slide",influx,"Global Charcoal Database Version 4","central core",2021-05-07,149,122,203,CA,CAN
156,204,"Madeleine core",47.6722,-70.7194,800,"lake sediment","Pollen slide",influx,"Global Charcoal Database Version 4","central core",2021-05-07,149,123,204,CA,CAN
157,205,"Neume core",47.5878,-77.1108,363,"lake sediment","Pollen slide",influx,"Global Charcoal Database Version 4","central core",2021-05-07,149,124,205,CA,CAN
158,206,"Spearman core",46.5439,-78.5028,368,"lake sediment","Pollen slide",influx,"Global Charcoal Database Version 4","central core",2021-05-07,149,125,206,CA,CAN
159,207,"Yamaska core",45.4578,-72.8719,265,"lake sediment","Pollen slide",influx,"Global Charcoal Database Version 4","central core",2021-05-07,149,126,207,CA,CAN
160,208,"Yelle core",48.5039,-79.6378,356,"lake sediment","Pollen slide",influx,"Global Charcoal Database Version 4","central core",2021-05-07,149,127,208,CA,CAN
161,209,"Masoko core_conc",-9.33,33.75,770,"lake sediment",Sieved,concentration,"Global Charcoal Database Version 4",-777777,2020-03-06,11,128,209,TZ,TZA
161,210,"Masoko core_pergam",-9.33,33.75,770,"lake sediment",Sieved,concentration,"Global Charcoal Database Version 4",-777777,2020-03-06,57,129,210,TZ,TZA
162,211,"Jackfish core",63.02,-136.47,655,"lake sediment",Sieved,concentration,"Global Charcoal Database Version 4",-777777,2020-03-06,11,130,211,CA,CAN
164,213,"Oops core",65.44,-147.63,488,"lake sediment",Sieved,concentration,"Global Charcoal Database Version 4",-777777,2020-03-06,11,131,213,US,USA
166,215,"Ruppert core",67.07,-154.24,230,"lake sediment",Sieved,influx,IMPD,"central core",2021-05-07,10,132,215,US,USA
167,216,"Xindi core",67.111667,152.491667,240,"lake sediment",Sieved,influx,IMPD,"central core",2021-05-07,10,133,216,RU,RUS
168,217,"Code core",67.15,-151.86,250,"lake sediment",Sieved,influx,"Global Charcoal Database Version 4","central core",2021-05-07,10,135,217,US,USA
169,218,"Wild Tussock core",67.128,-151.382,290,"lake sediment",Sieved,influx,IMPD,"central core",2021-05-07,10,136,218,US,USA
170,219,"Last Chance core",67.07,-150.75,250,"lake sediment",Sieved,influx,"Global Charcoal Database Version 4",-777777,2020-03-06,10,137,219,US,USA
171,220,"7-M core",62.5,-113.72,213,"lake sediment",Sieved,influx,"Global Charcoal Database Version 4","central core",2021-05-07,149,138,220,CA,CAN
172,221,"Arrow core",60.75,-150.516667,90,"lake sediment",Sieved,influx,"Global Charcoal Database Version 4","central core",2021-05-07,149,139,221,US,USA
173,222,"Rock Lake core",60.416667,-150.25,285,"lake sediment",Sieved,influx,"Global Charcoal Database Version 4","central core",2021-05-07,149,140,222,US,USA
175,224,"Portage core",60.716667,-150.5333,75,"lake sediment",Sieved,influx,"Global Charcoal Database Version 4","central core",2021-05-07,149,141,224,US,USA
176,225,"Banda Sea Core SHI-9014",-5.76,126.96,-3163,"marine sediment","Pollen slide",influx,"Global Charcoal Database Version 4",-888888,2021-05-07,143,142,225,ID,IDN
1912,230,"Tom Burns_D-section",-37.38,145.81,1075,"bog sediment","Pollen slide","pollen concentration","Global Charcoal Database Version 4",-777777,2020-03-06,23,143,230,AU,AUS
183,232,"Lake Baraba Thirlmere Lakes core",-34.23,150.53,305,"lake sediment",Sieved,concentration,"Global Charcoal Database Version 4","marginal core",2021-05-07,152,144,232,AU,AUS
188,237,"Core Fr10_95-GC-17",-22.04,113.5,-1093,"marine sediment","Pollen slide",concentration,"Global Charcoal Database Version 4",-777777,2020-03-06,115,145,237,AU,AUS
191,240,LT97,10.5445983014016,12.1313732910156,690,"lake sediment","Pollen slide",concentration,"Global Charcoal Database Version 4",-777777,2020-03-06,152,146,240,NG,NGA
192,241,"Krimda core",35.28,6.63,200,"bog sediment","Pollen slide",other,"Global Charcoal Database Version 4",-777777,2020-03-06,104,147,241,DZ,DZA
194,243,"Lago di Origlio core",46.055556,8.944444,416,"lake sediment","Pollen slide",concentration,"Global Charcoal Database Version 4","central core",2021-05-19,152,148,243,CH,CHE
195,244,"Lago di Muzzano core",45.994444,8.927778,337,"lake sediment","Pollen slide",concentration,"Global Charcoal Database Version 4","central core",2021-05-19,152,149,244,CH,CHE
196,245,"Soppensee composite core (SO89-17)",47.091667,8.0833333,596,"lake sediment","Pollen slide",concentration,"Global Charcoal Database Version 4","central core",2021-05-19,152,150,245,CH,CHE
197,246,"Lobsigensee core",47.03,7.29,514,"lake sediment","Pollen slide",concentration,"Global Charcoal Database Version 4",-777777,2020-03-06,152,151,246,CH,CHE
198,247,"Karakol core",42.83,77.39,2353,"lake sediment","Pollen slide",concentration,"Global Charcoal Database Version 4",-777777,2020-03-06,6,152,247,KG,KGZ
199,248,"Sharkey core",44.59,-93.41,305,"lake sediment",Sieved,influx,"Global Charcoal Database Version 4",-777777,2020-03-06,149,153,248,US,USA
200,249,"Kimble core",44.22,-93.84,309,"lake sediment",Sieved,influx,"Global Charcoal Database Version 4",-777777,2020-03-06,149,154,249,US,USA
204,253,"Cooley Lake core",49.490867,-117.645321,1515,"lake sediment",Sieved,count,author,"central core",2021-11-01,185,155,253,CA,CAN
205,254,"Rockslide core",49.550849,-117.52088,1539,"lake sediment",Sieved,count,author,"central core",2021-11-01,185,156,254,CA,CAN
208,257,"Black Swamp core",-32.05,151.4667,1450,"bog sediment","Pollen slide",influx,"Global Charcoal Database Version 4","central core",2021-05-07,143,157,257,AU,AUS
209,258,"Boggy Swamp core",-29.96,151.49,1160,"bog sediment","Pollen slide",influx,"Global Charcoal Database Version 4","central core",2021-05-07,143,158,258,AU,AUS
210,259,"Butchers Swamp core",-29.97,151.45,1230,"bog sediment","Pollen slide",influx,"Global Charcoal Database Version 4","central core",2021-05-07,143,159,259,AU,AUS
212,261,"Craigrossie core",-29.82,30.99,112,"lake sediment","Pollen slide","pollen concentration","Global Charcoal Database Version 4",-777777,2020-03-06,23,160,261,ZA,ZAF
213,262,"Dublin Bog core",-41.72,146.23,710,"bog sediment",Sieved,concentration,"Global Charcoal Database Version 4",-777777,2020-03-06,152,161,262,AU,AUS
214,265,"ELA-320 Lake core_area",49.5,-93.5,360,"lake sediment",Sieved,concentration,"Global Charcoal Database Version 4","central core",2021-12-10,10,162,265,CA,CAN
215,266,"Haeapugua core",-5.83,142.78,1650,"bog sediment","Pollen slide",other,"Global Charcoal Database Version 4",-777777,2020-03-06,161,163,266,PG,PNG
216,267,"Iso Lehmalampi core",60.35,24.6,106,"lake sediment","Pollen slide",concentration,"Global Charcoal Database Version 4","central core",2021-05-07,75,164,267,FI,FIN
217,268,"Jierstivaara core",68.66,23.73,457,"bog sediment","Pollen slide",concentration,"Global Charcoal Database Version 4",-777777,2020-03-06,6,165,268,FI,FIN
219,270,"Noreikora Swamp core",-6.33,145.83,1750,"lake sediment","Pollen slide",other,"Global Charcoal Database Version 4",-777777,2020-03-06,161,166,270,PG,PNG
220,271,"Northwest Lake core",52.5,-92.5,331,"lake sediment",Sieved,concentration,"Global Charcoal Database Version 4","central core",2021-05-07,152,167,271,CA,CAN
221,273,"Putaanlampi core",66.38,29.41,230,"bog sediment","Pollen slide",concentration,"Global Charcoal Database Version 4","central core",2021-05-07,6,168,273,FI,FIN
222,274,RD3,-6.1833,105.9667,100,"bog sediment","Pollen slide",other,"Global Charcoal Database Version 4","central core",2021-05-07,161,169,274,ID,IDN
223,275,"Siles Lake core",38.4,-2.5,1320,"lake sediment","Pollen slide",concentration,author,"central core",2021-05-07,22,170,275,ES,ESP
224,276,"Tadpole Swamp core",-38.13,145.27,60,"bog sediment","Pollen slide",concentration,"Global Charcoal Database Version 4",-777777,2020-03-06,60,171,276,AU,AUS
225,277,"Whitehaven Swamp core",-20.3,148.9,45,"lake sediment","Pollen slide",influx,"Global Charcoal Database Version 4",-777777,2020-03-06,143,172,277,AU,AUS
226,278,"Buxton core",-37.44,145.69,235,"bog sediment","Pollen slide",concentration,"Global Charcoal Database Version 4",-777777,2020-03-06,152,173,278,AU,AUS
